"Time";"st-2-tikv-0";"st-2-tikv-1";"st-2-tikv-2"
"2020-07-30T22:30:00+08:00";0.29844444444450285;0.3477777777777391;0.21933333333322547
"2020-07-30T22:31:00+08:00";0.3313333333334002;0.3688888888886883;0.2564444444446013
"2020-07-30T22:32:00+08:00";0.34400000000014164;0.3708888888889616;0.2504444444443468
"2020-07-30T22:33:00+08:00";0.34266666666686973;0.41688888888909564;0.26622222222189834
"2020-07-30T22:34:00+08:00";0.3495555555555487;0.39244444444440457;0.26866666666641664
"2020-07-30T22:35:00+08:00";0.34733333333317346;0.3795555555556321;0.2568888888890817
"2020-07-30T22:36:00+08:00";0.5968888888886602;0.6377777777779181;0.3557777777777416
"2020-07-30T22:37:00+08:00";1.7959999999999456;1.5611111111109162;1.149333333332955
"2020-07-30T22:38:00+08:00";2.6588888888889133;2.160444444444111;1.8964444444447155
"2020-07-30T22:39:00+08:00";3.568000000000164;2.997777777777728;2.494444444444502
"2020-07-30T22:40:00+08:00";4.614222222222289;3.6844444444442264;3.3613333333335875
"2020-07-30T22:41:00+08:00";5.488222222222283;4.379555555555738;4.012222222222148
"2020-07-30T22:42:00+08:00";4.4968888888890755;4.932554056756971;5.115333333333338
"2020-07-30T22:43:00+08:00";7.5522222222218724;4.735111111110932;4.252222222222159
"2020-07-30T22:44:00+08:00";4.438444444444057;5.88822222222206;5.66911111111087
"2020-07-30T22:45:00+08:00";6.991111111111407;4.989333333333201;4.524222222222053
"2020-07-30T22:46:00+08:00";5.0242222222223205;5.053333333333285;5.456888888889024
"2020-07-30T22:47:00+08:00";6.695333333333161;3.9468888888890503;3.8124444444442918
"2020-07-30T22:48:00+08:00";3.829555555555501;3.4437777777779406;3.890222222222236
"2020-07-30T22:49:00+08:00";4.079777777778008;3.373555555555632;6.48911111111123
"2020-07-30T22:50:00+08:00";4.228666666666779;4.05955555555498;4.999777777777585
"2020-07-30T22:51:00+08:00";3.636444444444132;2.9504444444443068;3.4291111111111596
"2020-07-30T22:52:00+08:00";3.346888888889132;3.648222222222116;3.6577777777779636
"2020-07-30T22:53:00+08:00";3.769777777777879;2.98977777777772;3.3940000000004376
"2020-07-30T22:54:00+08:00";3.072222222222415;4.290222222222478;3.6551111111111596
"2020-07-30T22:55:00+08:00";3.528444444444387;3.160888888888963;3.578666666666676
"2020-07-30T22:56:00+08:00";3.2240000000002085;3.777999999999857;3.2106666666672035
"2020-07-30T22:57:00+08:00";3.892222222222289;2.8026666666667057;3.058222222222526
"2020-07-30T22:58:00+08:00";4.084666666666555;3.8197777777779502;3.1631111111114625
"2020-07-30T22:59:00+08:00";3.2333333333330816;3.1484444444444555;3.9097777777775726
"2020-07-30T23:00:00+08:00";3.9904444444444174;2.4097777777777964;2.4031111111109427
"2020-07-30T23:01:00+08:00";4.126222222221887;2.5357777777781374;2.251555555555253
"2020-07-30T23:02:00+08:00";4.6506666666665755;3.1344444444441795;2.955777777777865
"2020-07-30T23:03:00+08:00";3.953777777777967;3.4499999999997755;2.372666666666848
"2020-07-30T23:04:00+08:00";4.131555555555523;3.469999999999986;2.898444444444683
"2020-07-30T23:05:00+08:00";3.585777777777593;3.6233333333333255;2.9284444444444246
"2020-07-30T23:06:00+08:00";3.784888888888795;3.8433333333335;3.0775555555557257
"2020-07-30T23:07:00+08:00";3.855111111110922;3.3717777777774858;3.1302222222221685
"2020-07-30T23:08:00+08:00";3.788222222222373;4.012222222222341;3.238444444444657
"2020-07-30T23:09:00+08:00";3.801640036444827;3.2411111111111595;3.2037777777782095
"2020-07-30T23:10:00+08:00";3.7428888888890253;3.9957777777778567;3.0762222222225857
"2020-07-30T23:11:00+08:00";4.208222222222448;3.588666666666606;3.5082222222217725
"2020-07-30T23:12:00+08:00";4.471999999999897;4.642222222222008;3.5771111111109493
"2020-07-30T23:13:00+08:00";4.860888888889155;3.1613333333333364;3.7659999999998703
"2020-07-30T23:14:00+08:00";7.77000000000004;3.7924444444446275;4.071555555555318
"2020-07-30T23:15:00+08:00";3.5419999999998795;4.537333333333452;3.5853333333336312
"2020-07-30T23:16:00+08:00";4.775777777778101;7.3679999999999355;3.911333333333701
"2020-07-30T23:17:00+08:00";5.0555555555554745;5.937999999999901;5.367999999999839
"2020-07-30T23:18:00+08:00";5.5651111111107765;5.498000000000201;4.04688888888902
"2020-07-30T23:19:00+08:00";3.0662222222221702;4.780888888888687;4.125555555555609
"2020-07-30T23:20:00+08:00";3.1762222222222265;5.642666666666896;3.063555555555564
"2020-07-30T23:21:00+08:00";2.9960000000003455;4.474888888888831;2.4833333333332774
"2020-07-30T23:22:00+08:00";2.737111111111048;5.334222222222232;2.5411111111111864
"2020-07-30T23:23:00+08:00";2.6988888888888116;4.292888888888787;2.7831111111110896
"2020-07-30T23:24:00+08:00";2.4864444444444342;3.7644444444447513;2.196222222222253
"2020-07-30T23:25:00+08:00";2.3111111111112157;3.757777777777726;2.2391111111111957
"2020-07-30T23:26:00+08:00";2.4171111111108305;2.5799999999997545;1.8437777777778732
"2020-07-30T23:27:00+08:00";1.713111111111078;2.249555555555685;2.2406666666665744
"2020-07-30T23:28:00+08:00";1.5793333333337567;1.6724444444444753;1.2715555555553115
"2020-07-30T23:29:00+08:00";1.1820000000000965;1.3617777777777742;1.2997777777780062
"2020-07-30T23:30:00+08:00";0.6899999999997932;0.8266666666668433;0.7455555555556277
"2020-07-30T23:31:00+08:00";0.32377777777798095;0.3440000000001158;0.2457777777781777
"2020-07-30T23:32:00+08:00";0.31799999999957984;0.3784444444446445;0.2539999999997921
